player_name,position,season,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,tackled_for_loss,rush_touchdown,pass_touchdown,interception,fumble,receptions,targets,receiving_touchdown,receptions_redzone,targets_redzone,receiving_touchdown_redzone,rush_attempts_redzone,rush_touchdown_redzone,fantasy_points_ppr,total_tds,touches,total_yards,age,games_played_season,top_10_next
Adrian Peterson,RB,2012,214.0,183.0,332.0,2013.0,48.0,10.0,1.0,1.0,4.0,39.0,49.0,1.0,5.0,7.0,1.0,57.0,6.0,319.7,12.0,371.0,2227.0,27.0,15,1
Ahmad Bradshaw,RB,2012,237.0,262.0,212.0,976.0,12.0,6.0,0.0,0.0,3.0,22.0,30.0,0.0,1.0,2.0,0.0,51.0,6.0,170.3,6.0,234.0,1213.0,26.0,13,0
Alex Green,RB,2012,125.0,158.0,135.0,464.0,11.0,0.0,0.0,0.0,1.0,18.0,29.0,0.0,4.0,6.0,0.0,12.0,0.0,76.9,0.0,153.0,589.0,24.0,11,0
Alfred Morris,RB,2012,77.0,65.0,335.0,1613.0,31.0,13.0,0.0,0.0,4.0,11.0,16.0,0.0,1.0,1.0,0.0,56.0,11.0,249.0,13.0,346.0,1690.0,23.0,16,0
Andre Brown,RB,2012,86.0,73.0,74.0,385.0,6.0,8.0,0.0,0.0,0.0,12.0,17.0,0.0,2.0,3.0,0.0,20.0,8.0,107.1,8.0,86.0,471.0,25.0,8,0
Anthony Allen,RB,2012,12.0,14.0,16.0,61.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,15.3,1.0,18.0,73.0,24.0,6,0
Anthony Dixon,RB,2012,0.0,0.0,21.0,78.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,19.8,2.0,21.0,78.0,24.0,8,0
Anthony Sherman,RB,2012,39.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,8.9,0.0,5.0,39.0,23.0,6,0
Baron Batch,RB,2012,31.0,30.0,25.0,49.0,4.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,18.0,1.0,29.0,80.0,24.0,8,0
Ben Tate,RB,2012,49.0,40.0,65.0,279.0,5.0,2.0,0.0,0.0,1.0,11.0,11.0,0.0,0.0,0.0,0.0,10.0,2.0,52.8,2.0,76.0,328.0,24.0,11,0
