player_name,season,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,rush_touchdown,fumble,fumble_lost,receptions,targets,receiving_air_yards,receiving_touchdown,receptions_redzone,targets_redzone,receiving_touchdown_redzone,fantasy_points_ppr,top_10_next,offense_snaps,total_tds,total_yards,games_missed,age,games_played_season
Zach Miller,2012,396.0,128.0,0.0,0.0,0.0,1.0,1.0,38.0,53.0,390.0,3.0,5.0,6.0,2.0,92.6,0,853.0,6.0,396.0,0,26.0,16
Visanthe Shiancoe,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,-2.0,0,11.0,0.0,0.0,15,32.0,1
Virgil Green,2012,63.0,62.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,0.0,0.0,1.0,0.0,11.3,0,80.0,0.0,63.0,13,24.0,3
Vernon Davis,2012,548.0,169.0,0.0,0.0,0.0,0.0,0.0,41.0,61.0,701.0,5.0,3.0,5.0,3.0,125.8,1,860.0,10.0,548.0,1,28.0,15
Tony Scheffler,2012,504.0,117.0,0.0,0.0,0.0,0.0,0.0,42.0,80.0,1083.0,1.0,4.0,10.0,1.0,88.4,0,522.0,2.0,504.0,1,29.0,15
Tony Moeaki,2012,453.0,125.0,0.0,0.0,0.0,0.0,0.0,33.0,52.0,564.0,1.0,3.0,8.0,1.0,76.3,0,848.0,2.0,453.0,2,25.0,14
Tony Gonzalez,2012,930.0,252.0,0.0,0.0,0.0,0.0,0.0,93.0,121.0,965.0,8.0,12.0,16.0,8.0,228.0,1,966.0,16.0,930.0,0,36.0,16
Todd Heap,2012,94.0,37.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,101.0,0.0,2.0,4.0,0.0,17.4,0,81.0,0.0,94.0,14,32.0,2
Scott Chandler,2012,571.0,191.0,0.0,0.0,0.0,2.0,1.0,43.0,72.0,682.0,6.0,6.0,10.0,5.0,129.1,0,749.0,12.0,571.0,1,27.0,15
Rob Gronkowski,2012,790.0,300.0,0.0,0.0,0.0,1.0,1.0,55.0,80.0,796.0,11.0,10.0,18.0,8.0,197.0,0,733.0,22.0,790.0,5,23.0,11
Rhett Ellison,2012,65.0,66.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,7.0,0.0,0.0,2.0,0.0,13.5,0,126.0,0.0,65.0,9,23.0,7
Randy McMichael,2012,51.0,54.0,0.0,0.0,0.0,1.0,0.0,9.0,13.0,31.0,0.0,1.0,1.0,0.0,14.100000000000000,0,228.0,0.0,51.0,9,33.0,7
Owen Daniels,2012,716.0,313.0,0.0,0.0,0.0,0.0,0.0,62.0,103.0,814.0,6.0,3.0,11.0,3.0,167.6,0,863.0,12.0,716.0,1,29.0,15
Orson Charles,2012,101.0,48.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,55.0,0.0,0.0,1.0,0.0,18.1,0,157.0,0.0,101.0,8,21.0,8
Niles Paul,2012,152.0,56.0,1.0,-1.0,0.0,0.0,0.0,8.0,15.0,145.0,1.0,0.0,2.0,0.0,29.1,0,152.0,2.0,151.0,6,23.0,10
Michael Hoomanawanui,2012,105.0,48.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,77.0,0.0,0.0,0.0,0.0,14.5,0,160.0,0.0,105.0,11,24.0,5
Martellus Bennett,2012,626.0,198.0,0.0,0.0,0.0,0.0,0.0,55.0,86.0,887.0,5.0,7.0,15.0,4.0,139.6,1,930.0,10.0,626.0,0,25.0,16
Marcedes Lewis,2012,488.0,208.0,0.0,0.0,0.0,0.0,0.0,47.0,70.0,503.0,3.0,6.0,12.0,3.0,109.8,0,741.0,6.0,488.0,2,28.0,14
Luke Stocker,2012,165.0,88.0,0.0,0.0,0.0,0.0,0.0,16.0,28.0,157.0,1.0,2.0,3.0,1.0,38.5,0,391.0,2.0,165.0,4,24.0,12
Lee Smith,2012,13.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,2.0,2.0,2.0,2.0,17.3,0,85.0,4.0,13.0,12,24.0,4
Lance Kendricks,2012,519.0,225.0,0.0,0.0,0.0,1.0,0.0,42.0,62.0,429.0,4.0,4.0,6.0,2.0,113.90000000000000,0,845.0,8.0,519.0,0,24.0,16
Ladarius Green,2012,56.0,42.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,14.0,0.0,0.0,0.0,0.0,9.6,0,30.0,0.0,56.0,14,22.0,2
