player_name,season,receiving_yards,yards_after_catch,rush_attempts,rush_touchdown,pass_touchdown,fumble,receptions,targets,receiving_touchdown,receptions_redzone,targets_redzone,receiving_touchdown_redzone,fantasy_points_ppr,offense_snaps,total_tds,touches,total_yards,games_missed,age,games_played_season,Top_10_Next_Season_or_Not
A.J. Green,2012,1350.0,381.0,4.0,0.0,11.0,2.0,97.0,158.0,11.0,13.0,24.0,8.0,286.8,960.0,22.0,101.0,1388.0,0,24.0,16,1
Alshon Jeffery,2012,367.0,65.0,0.0,0.0,3.0,0.0,24.0,47.0,3.0,1.0,4.0,1.0,76.7,431.0,6.0,24.0,367.0,6,22.0,10,1
Andre Johnson,2012,1598.0,548.0,0.0,0.0,4.0,0.0,112.0,158.0,4.0,4.0,7.0,2.0,285.8,976.0,8.0,112.0,1598.0,0,31.0,16,1
Antonio Brown,2012,787.0,348.0,7.0,0.0,5.0,2.0,66.0,105.0,5.0,6.0,9.0,4.0,170.1,654.0,10.0,74.0,811.0,3,24.0,13,1
Brandon Marshall,2012,1508.0,347.0,1.0,0.0,11.0,2.0,118.0,187.0,11.0,13.0,23.0,8.0,320.6,969.0,22.0,119.0,1506.0,0,28.0,16,1
Calvin Johnson,2012,1964.0,503.0,0.0,0.0,5.0,3.0,122.0,200.0,5.0,6.0,17.0,2.0,331.4,1151.0,10.0,122.0,1964.0,0,26.0,16,1
Demaryius Thomas,2012,1430.0,537.0,0.0,0.0,10.0,3.0,94.0,141.0,10.0,9.0,21.0,6.0,288.0,1018.0,20.0,94.0,1430.0,0,24.0,16,1
DeSean Jackson,2012,700.0,228.0,3.0,0.0,2.0,1.0,45.0,85.0,2.0,3.0,8.0,1.0,120.3,700.0,4.0,48.0,693.0,5,25.0,11,1
Dez Bryant,2012,1371.0,455.0,2.0,0.0,12.0,2.0,90.0,134.0,12.0,8.0,13.0,4.0,291.6,920.0,24.0,92.0,1366.0,0,23.0,16,1
Eric Decker,2012,1064.0,273.0,0.0,0.0,13.0,0.0,85.0,119.0,13.0,17.0,24.0,12.0,263.4,1047.0,26.0,85.0,1064.0,0,25.0,16,1
A.J. Jenkins,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,15,22.0,1,0
Aldrick Robinson,2012,237.0,62.0,1.0,0.0,3.0,0.0,11.0,19.0,3.0,2.0,2.0,1.0,54.1,188.0,6.0,12.0,251.0,7,23.0,9,0
Andre Caldwell,2012,18.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.200000000000000,73.0,0.0,2.0,32.0,13,27.0,3,0
Andre Roberts,2012,759.0,221.0,4.0,0.0,5.0,1.0,64.0,112.0,5.0,4.0,8.0,4.0,168.8,838.0,10.0,68.0,788.0,1,24.0,15,0
Anquan Boldin,2012,921.0,237.0,1.0,0.0,4.0,0.0,65.0,109.0,4.0,2.0,7.0,1.0,175.4,877.0,8.0,66.0,924.0,1,31.0,15,0
Arrelious Benn,2012,26.0,23.0,3.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,8.2,60.0,0.0,7.0,42.0,12,23.0,4,0
Austin Collie,2012,6.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.6,14.0,0.0,1.0,6.0,15,26.0,1,0
Austin Pettis,2012,261.0,79.0,0.0,0.0,4.0,0.0,30.0,46.0,4.0,5.0,8.0,4.0,76.1,363.0,8.0,30.0,261.0,3,24.0,13,0
Ben Obomanu,2012,58.0,21.0,1.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,10.9,82.0,0.0,5.0,69.0,11,28.0,5,0
Brad Smith,2012,152.0,44.0,14.0,1.0,2.0,1.0,14.0,22.0,2.0,2.0,4.0,1.0,56.8,305.0,5.0,28.0,268.0,3,28.0,13,0
Brandon Gibson,2012,691.0,112.0,0.0,0.0,5.0,0.0,51.0,80.0,5.0,4.0,9.0,3.0,146.1,697.0,10.0,51.0,691.0,1,25.0,15,0
Brandon LaFell,2012,677.0,312.0,3.0,0.0,4.0,1.0,44.0,72.0,4.0,3.0,8.0,1.0,131.20000000000000,734.0,8.0,47.0,712.0,3,25.0,13,0
Brandon Lloyd,2012,911.0,168.0,0.0,0.0,4.0,0.0,74.0,129.0,4.0,10.0,16.0,2.0,187.1,1041.0,8.0,74.0,911.0,0,31.0,16,0
Brandon Stokley,2012,544.0,148.0,0.0,0.0,5.0,0.0,45.0,57.0,5.0,3.0,5.0,2.0,125.4,567.0,10.0,45.0,544.0,2,36.0,14,0
Brandon Tate,2012,211.0,64.0,1.0,0.0,1.0,0.0,13.0,23.0,1.0,0.0,1.0,0.0,36.1,248.0,2.0,14.0,211.0,4,24.0,12,0
Braylon Edwards,2012,74.0,9.0,0.0,0.0,1.0,0.0,8.0,16.0,1.0,1.0,6.0,1.0,19.4,100.0,2.0,8.0,74.0,9,29.0,7,0
Braylon Edwards,2012,78.0,14.0,0.0,0.0,0.0,0.0,7.0,13.0,0.0,1.0,2.0,0.0,14.800000000000000,102.0,0.0,7.0,78.0,9,29.0,7,0
Brian Hartline,2012,1083.0,240.0,0.0,0.0,1.0,1.0,74.0,128.0,1.0,2.0,12.0,0.0,179.3,844.0,2.0,74.0,1083.0,1,25.0,15,0
Brian Quick,2012,156.0,23.0,0.0,0.0,2.0,0.0,11.0,24.0,2.0,2.0,5.0,1.0,32.6,179.0,4.0,11.0,156.0,2,23.0,14,0
Cecil Shorts,2012,804.0,311.0,1.0,0.0,6.0,1.0,45.0,84.0,6.0,3.0,6.0,2.0,152.0,579.0,12.0,46.0,800.0,4,24.0,12,0
Chaz Schilens,2012,289.0,49.0,0.0,0.0,2.0,1.0,28.0,40.0,2.0,2.0,6.0,1.0,63.9,472.0,4.0,28.0,289.0,4,26.0,12,0
Chris Givens,2012,698.0,277.0,3.0,0.0,3.0,0.0,42.0,79.0,3.0,2.0,3.0,0.0,129.0,615.0,6.0,45.0,710.0,1,22.0,15,0
Cole Beasley,2012,128.0,59.0,0.0,0.0,0.0,0.0,15.0,22.0,0.0,1.0,5.0,0.0,23.8,120.0,0.0,15.0,128.0,8,23.0,8,0
Damian Williams,2012,324.0,75.0,0.0,0.0,0.0,0.0,30.0,42.0,0.0,3.0,6.0,0.0,56.4,379.0,0.0,30.0,324.0,3,24.0,13,0
Danny Amendola,2012,666.0,237.0,2.0,0.0,3.0,2.0,63.0,99.0,3.0,9.0,13.0,3.0,138.4,503.0,6.0,65.0,674.0,5,26.0,11,0
Darrius Heyward-Bey,2012,606.0,231.0,2.0,0.0,5.0,0.0,41.0,78.0,5.0,6.0,10.0,2.0,129.20000000000000,806.0,10.0,43.0,622.0,1,25.0,15,0
Deion Branch,2012,97.0,25.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,1.0,2.0,0.0,17.7,343.0,0.0,10.0,97.0,9,33.0,7,0
Denarius Moore,2012,741.0,258.0,1.0,0.0,7.0,1.0,51.0,108.0,7.0,9.0,15.0,5.0,154.6,794.0,14.0,52.0,736.0,1,23.0,15,0
Devery Henderson,2012,316.0,79.0,1.0,0.0,1.0,1.0,22.0,44.0,1.0,0.0,1.0,0.0,54.9,702.0,2.0,23.0,329.0,1,30.0,15,0
DeVier Posey,2012,87.0,29.0,1.0,0.0,0.0,0.0,6.0,13.0,0.0,0.0,1.0,0.0,12.400000000000000,127.0,0.0,7.0,84.0,10,22.0,6,0
